region	husholdningstype	statistikkvariabel	ar	06081: Personer i privathusholdninger,
K-1149 Karmøy	Husholdninger med 2 barn	Personer i privathusholdninger	2018	8517
K-1149 Karmøy	Husholdninger med 2 barn	Personer i privathusholdninger	2019	8417
K-1149 Karmøy	Husholdninger med 2 barn	Personer i privathusholdninger	2020	8486
K-1149 Karmøy	Husholdninger med 2 barn	Personer i privathusholdninger	2021	8606
K-1149 Karmøy	Husholdninger med 2 barn	Personer i privathusholdninger	2022	8684
K-1149 Karmøy	Husholdninger med 2 barn	Personer i privathusholdninger	2023	8549
K-1149 Karmøy	Husholdninger med 3 barn eller flere	Personer i privathusholdninger	2013	5559
K-1149 Karmøy	Husholdninger med 3 barn eller flere	Personer i privathusholdninger	2014	5573
K-1149 Karmøy	Husholdninger med 3 barn eller flere	Personer i privathusholdninger	2015	5590
K-1149 Karmøy	Husholdninger med 3 barn eller flere	Personer i privathusholdninger	2016	5603
K-1149 Karmøy	Husholdninger med 3 barn eller flere	Personer i privathusholdninger	2017	5500
K-1149 Karmøy	Husholdninger med 3 barn eller flere	Personer i privathusholdninger	2018	5483
K-1149 Karmøy	Husholdninger med 3 barn eller flere	Personer i privathusholdninger	2019	5416
K-1149 Karmøy	Husholdninger med 3 barn eller flere	Personer i privathusholdninger	2020	5339
K-1149 Karmøy	Husholdninger med 3 barn eller flere	Personer i privathusholdninger	2021	5273
K-1149 Karmøy	Husholdninger med 3 barn eller flere	Personer i privathusholdninger	2022	5126
K-1149 Karmøy	Husholdninger med 3 barn eller flere	Personer i privathusholdninger	2023	5209
K-1149 Karmøy	Andre husholdninger 2 personer	Personer i privathusholdninger	2013	8968
K-1149 Karmøy	Andre husholdninger 2 personer	Personer i privathusholdninger	2014	9722
K-1149 Karmøy	Andre husholdninger 2 personer	Personer i privathusholdninger	2015	9842
K-1149 Karmøy	Andre husholdninger 2 personer	Personer i privathusholdninger	2016	10000
K-1149 Karmøy	Andre husholdninger 2 personer	Personer i privathusholdninger	2017	10102
K-1149 Karmøy	Andre husholdninger 2 personer	Personer i privathusholdninger	2018	10384
K-1149 Karmøy	Andre husholdninger 2 personer	Personer i privathusholdninger	2019	10526
K-1149 Karmøy	Andre husholdninger 2 personer	Personer i privathusholdninger	2020	10696
K-1149 Karmøy	Andre husholdninger 2 personer	Personer i privathusholdninger	2021	10840
K-1149 Karmøy	Andre husholdninger 2 personer	Personer i privathusholdninger	2022	10938
K-1149 Karmøy	Andre husholdninger 2 personer	Personer i privathusholdninger	2023	11014
K-1149 Karmøy	Andre husholdninger 3 personer eller flere	Personer i privathusholdninger	2013	4678
K-1149 Karmøy	Andre husholdninger 3 personer eller flere	Personer i privathusholdninger	2014	4028
K-1149 Karmøy	Andre husholdninger 3 personer eller flere	Personer i privathusholdninger	2015	4329
K-1149 Karmøy	Andre husholdninger 3 personer eller flere	Personer i privathusholdninger	2016	4326
K-1149 Karmøy	Andre husholdninger 3 personer eller flere	Personer i privathusholdninger	2017	4386
K-1149 Karmøy	Andre husholdninger 3 personer eller flere	Personer i privathusholdninger	2018	4354
K-1149 Karmøy	Andre husholdninger 3 personer eller flere	Personer i privathusholdninger	2019	4344
K-1149 Karmøy	Andre husholdninger 3 personer eller flere	Personer i privathusholdninger	2020	4301
K-1149 Karmøy	Andre husholdninger 3 personer eller flere	Personer i privathusholdninger	2021	4220
K-1149 Karmøy	Andre husholdninger 3 personer eller flere	Personer i privathusholdninger	2022	4268
K-1149 Karmøy	Andre husholdninger 3 personer eller flere	Personer i privathusholdninger	2023	4292
