statistikkvariabel	region	husholdningstype	eierstatus	år	11082: Husholdninger,
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2020	1778
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2021	1715
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2022	1729
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2023	1695
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2015	12
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2016	9
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2017	6
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2018	7
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2019	10
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2020	8
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2021	11
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2022	8
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2023	4
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2015	180
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2016	193
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2017	161
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2018	171
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2019	173
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2020	159
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2021	148
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2022	133
Antall husholdninger	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2023	140
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2015	2184
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2016	2202
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2017	2154
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2018	2139
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2019	2160
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2020	2160
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2021	2196
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2022	2224
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2023	2247
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2015	10
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2016	7
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2017	6
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2018	6
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2019	7
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2020	6
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2021	7
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2022	6
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2023	7
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2015	93
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2016	88
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2017	96
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2018	116
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2019	101
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2020	107
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2021	104
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2022	106
Antall husholdninger	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2023	114
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2015	159
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2016	146
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2017	146
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2018	136
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2019	120
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2020	131
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2021	121
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2022	111
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2023	118
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2015	5
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2016	3
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2017	3
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2018	3
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2019	0
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2020	0
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2021	0
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2022	3
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2023	6
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2015	127
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2016	120
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2017	114
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2018	110
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2019	96
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2020	96
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2021	90
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2022	76
Antall husholdninger	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2023	78
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2015	534
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2016	541
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2017	549
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2018	550
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2019	564
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2020	537
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2021	531
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2022	518
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2023	526
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2015	10
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2016	7
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2017	13
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2018	10
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2019	14
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2020	12
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2021	11
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2022	13
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2023	13
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2015	127
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2016	131
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2017	146
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2018	147
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2019	139
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2020	136
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2021	150
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2022	146
Antall husholdninger	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2023	145
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2015	1295
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2016	1321
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2017	1357
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2018	1366
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2019	1390
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2020	1404
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2021	1396
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2022	1397
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2023	1413
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2015	5
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2016	7
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2017	11
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2018	7
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2019	11
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2020	10
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2021	7
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2022	6
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2023	6
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2015	70
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2016	74
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2017	72
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2018	70
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2019	66
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2020	77
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2021	88
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2022	82
Antall husholdninger	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2023	84
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2015	246
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2016	222
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2017	238
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2018	209
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2019	208
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2020	202
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2021	195
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2022	182
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2023	198
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2015	3
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2016	0
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2017	0
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2018	3
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2019	3
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2020	0
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2021	3
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2022	0
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2023	0
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2015	11
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2016	17
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2017	18
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2018	19
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2019	15
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2020	10
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2021	8
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2022	19
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2023	20
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2015	396
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2016	381
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2017	347
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2018	344
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2019	340
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2020	340
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2021	343
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2022	329
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2023	339
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2015	7
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2016	7
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2017	8
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2018	8
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2019	6
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2020	10
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2021	7
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2022	6
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2023	9
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2015	131
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2016	115
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2017	128
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2018	135
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2019	127
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2020	117
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2021	109
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2022	118
Antall husholdninger	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2023	122
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Selveier	2015	85.1
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Selveier	2016	85.0
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Selveier	2017	85.1
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Selveier	2018	85.0
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Selveier	2019	85.3
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Selveier	2020	85.3
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Selveier	2021	84.8
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Selveier	2022	85.0
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Selveier	2023	84.7
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2015	1.1
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2016	1.0
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2017	1.0
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2018	1.1
